Longitude,Latitude,Mean,100,250,500,700,850,1000
30.5,62.0,1.818,1.201,1.709,1.87,1.931,1.935,1.918
30.5,62.5,1.812,1.203,1.71,1.857,1.917,1.928,1.916
30.5,63.0,1.809,1.21,1.715,1.855,1.909,1.92,1.91
30.5,63.5,1.82,1.191,1.716,1.88,1.936,1.934,1.912
30.5,64.0,1.804,1.19,1.704,1.85,1.91,1.92,1.907
30.5,64.5,1.804,1.192,1.706,1.849,1.907,1.919,1.908
30.5,65.0,1.795,1.179,1.691,1.829,1.9,1.918,1.909
30.5,65.5,1.806,1.178,1.696,1.852,1.917,1.927,1.912
31.0,65.5,1.821,1.181,1.709,1.879,1.941,1.939,1.918
31.0,66.0,1.802,1.179,1.696,1.836,1.911,1.927,1.916
31.0,66.5,1.789,1.169,1.694,1.829,1.889,1.908,1.902
31.0,67.0,1.783,1.162,1.686,1.818,1.888,1.911,1.891
31.0,67.5,1.792,1.162,1.691,1.835,1.903,1.92,1.895
31.0,68.0,1.79,1.161,1.689,1.829,1.902,1.92,1.895
31.0,68.5,1.782,1.16,1.689,1.822,1.886,1.907,1.888
31.0,69.0,1.773,1.152,1.68,1.807,1.874,1.901,1.885
31.0,69.5,1.812,1.169,1.707,1.87,1.934,1.936,1.901
31.0,70.0,1.8,1.157,1.692,1.84,1.911,1.925,1.914
31.0,70.5,1.804,1.148,1.694,1.856,1.918,1.927,1.914
31.0,71.0,1.793,1.14,1.686,1.845,1.902,1.914,1.904
33.0,62.0,1.783,1.19,1.68,1.807,1.878,1.906,1.902
33.0,62.5,1.777,1.171,1.667,1.816,1.874,1.898,1.893
33.0,63.0,1.789,1.207,1.701,1.828,1.877,1.898,1.896
33.5,63.5,1.815,1.213,1.723,1.875,1.918,1.919,1.904
33.5,64.0,1.8,1.2,1.707,1.849,1.899,1.91,1.901
33.5,64.5,1.782,1.189,1.688,1.814,1.87,1.898,1.898
33.5,65.0,1.814,1.183,1.702,1.877,1.93,1.929,1.908
33.5,65.5,1.821,1.175,1.699,1.881,1.946,1.943,1.918
34.0,66.0,1.763,1.165,1.663,1.777,1.851,1.89,1.895
34.0,66.5,1.797,1.17,1.686,1.826,1.902,1.926,1.919
34.0,67.0,1.802,1.174,1.693,1.839,1.912,1.927,1.915
34.0,67.5,1.8,1.172,1.695,1.844,1.916,1.928,1.9
34.0,68.0,1.807,1.172,1.7,1.859,1.928,1.934,1.902
34.5,68.5,1.801,1.17,1.7,1.854,1.917,1.924,1.894
34.5,69.0,1.796,1.168,1.693,1.835,1.903,1.918,1.907
34.5,69.5,1.813,1.178,1.709,1.865,1.927,1.93,1.913
34.5,70.0,1.819,1.165,1.699,1.863,1.94,1.948,1.93
34.5,70.5,1.823,1.167,1.704,1.871,1.946,1.951,1.931
35.0,62.0,1.835,1.229,1.732,1.895,1.942,1.938,1.929
35.0,71.0,1.829,1.157,1.696,1.875,1.961,1.963,1.94
35.5,62.5,1.827,1.217,1.716,1.885,1.934,1.933,1.926
35.5,63.0,1.807,1.192,1.68,1.874,1.925,1.92,1.898
35.5,63.5,1.816,1.204,1.706,1.879,1.93,1.927,1.907
35.5,64.0,1.786,1.182,1.683,1.851,1.889,1.893,1.878
36.0,64.5,1.806,1.181,1.687,1.867,1.926,1.921,1.9
36.0,65.0,1.797,1.187,1.702,1.863,1.909,1.902,1.879
36.0,65.5,1.817,1.201,1.719,1.883,1.927,1.922,1.903
36.5,66.0,1.815,1.196,1.723,1.897,1.931,1.914,1.886
36.5,66.5,1.806,1.174,1.687,1.866,1.929,1.924,1.901
36.5,67.0,1.807,1.16,1.687,1.874,1.938,1.924,1.894
37.0,62.0,1.827,1.226,1.723,1.885,1.937,1.937,1.919
37.0,62.5,1.815,1.222,1.718,1.87,1.917,1.922,1.909
37.0,67.5,1.848,1.193,1.739,1.945,1.982,1.958,1.91
37.0,68.0,1.812,1.172,1.703,1.881,1.939,1.932,1.894
37.0,68.5,1.822,1.19,1.723,1.894,1.943,1.936,1.901
37.5,63.0,1.841,1.222,1.731,1.912,1.961,1.948,1.921
37.5,63.5,1.822,1.219,1.731,1.889,1.928,1.923,1.905
37.5,69.0,1.809,1.173,1.685,1.837,1.927,1.945,1.93
37.5,69.5,1.838,1.193,1.734,1.911,1.956,1.948,1.925
37.5,70.0,1.833,1.185,1.722,1.897,1.955,1.95,1.927
38.0,64.0,1.792,1.195,1.689,1.837,1.894,1.905,1.895
38.0,64.5,1.804,1.204,1.709,1.859,1.906,1.911,1.898
38.0,65.0,1.809,1.196,1.704,1.867,1.922,1.921,1.902
38.0,70.5,1.831,1.177,1.714,1.89,1.953,1.952,1.932
38.0,71.0,1.884,1.193,1.747,1.974,2.038,2.004,1.958
38.5,62.0,1.816,1.226,1.717,1.866,1.918,1.924,1.912
38.5,65.5,1.82,1.198,1.719,1.894,1.936,1.924,1.9
