Longitude,Latitude,Mean,100,250,500,700,850,1000
46.5,62.0,407.2,405.7,404.3,405.6,407.9,408.9,409.3
47.0,61.5,406.9,406.6,407.7,408.4,405.3,406.1,407.0
47.5,61.5,408.2,407.1,406.0,407.1,408.7,409.3,409.6
48.5,61.0,407.3,405.9,404.8,405.7,407.8,408.8,409.3
48.5,63.0,406.3,404.6,404.9,406.4,405.6,406.8,407.8
49.0,60.5,408.6,407.9,407.3,407.7,408.9,409.4,409.6
49.0,62.5,406.8,405.7,406.4,407.4,405.9,406.8,407.6
49.5,60.0,407.0,406.1,404.6,405.2,407.4,408.5,409.1
49.5,62.0,407.1,405.8,404.3,405.2,407.7,408.8,409.3
50.0,60.0,407.5,408.1,406.0,406.0,407.5,408.4,408.9
50.0,63.5,407.4,406.1,406.8,408.4,406.4,407.2,408.1
50.5,59.5,407.2,406.1,404.9,405.0,407.8,408.9,409.4
50.5,61.5,407.8,406.0,405.2,406.5,408.5,409.3,409.6
51.0,59.0,408.7,407.2,407.2,407.8,409.1,409.7,409.9
51.0,61.5,408.7,407.0,406.5,407.9,409.5,409.9,410.0
51.0,63.0,409.5,408.1,408.5,409.3,409.9,410.1,410.1
51.5,61.0,406.7,404.9,403.4,404.5,407.5,408.7,409.3
51.5,62.5,409.0,407.9,407.3,408.4,409.6,409.9,410.0
52.0,58.5,407.7,405.3,404.3,406.1,408.8,409.5,409.8
52.0,60.5,408.1,406.3,405.4,406.9,408.9,409.5,409.8
52.0,62.5,409.9,409.1,409.3,409.9,410.3,410.2,410.2
52.0,64.0,409.9,408.3,408.7,410.0,410.5,410.4,410.3
52.5,58.5,408.0,405.8,404.9,406.8,409.0,409.6,409.8
52.5,60.0,407.6,405.7,404.8,406.1,408.5,409.3,409.6
52.5,62.0,409.5,408.5,408.4,409.3,409.9,410.1,410.1
52.5,63.5,408.7,407.6,407.0,407.7,409.2,409.7,409.9
53.0,58.0,407.1,406.1,404.9,405.4,407.5,408.6,409.2
53.0,60.0,408.1,407.1,406.0,406.8,408.6,409.3,409.6
53.0,63.0,409.8,408.5,408.4,409.7,410.3,410.3,410.3
53.0,64.5,410.7,412.2,411.8,410.9,410.3,410.2,410.2
53.5,57.5,408.2,407.9,407.1,407.0,408.3,409.0,409.4
53.5,59.5,407.9,407.0,406.1,406.6,408.3,409.1,409.5
53.5,61.5,407.7,405.4,404.6,406.3,408.7,409.4,409.7
53.5,63.0,411.2,410.7,412.6,412.3,410.9,410.5,410.4
54.0,57.0,407.5,407.1,406.3,405.9,407.6,408.6,409.1
54.0,61.0,407.9,406.3,404.9,406.5,408.7,409.4,409.7
54.0,62.5,410.8,411.4,411.7,411.1,410.5,410.3,410.2
54.0,64.0,409.6,408.0,408.1,409.3,410.2,410.2,410.2
54.5,57.0,407.5,406.6,405.5,405.7,408.0,409.0,409.5
54.5,59.0,407.7,406.2,405.3,406.1,408.3,409.2,409.6
54.5,60.5,409.0,408.3,407.7,408.4,409.4,409.7,409.9
54.5,63.5,410.3,409.2,409.4,410.7,410.8,410.6,410.4
54.5,65.0,409.3,409.9,409.2,408.6,409.2,409.6,409.8
55.0,56.5,403.7,402.0,400.0,398.6,404.9,407.3,408.2
55.0,58.5,408.6,407.1,407.0,407.7,409.2,409.7,409.9
55.0,60.5,407.7,407.4,406.4,406.6,407.7,408.5,409.0
55.0,62.0,409.1,408.4,408.4,408.5,409.3,409.7,409.9
55.0,63.0,410.8,408.1,409.2,411.6,411.8,411.3,410.9
55.0,64.5,409.0,407.7,406.9,408.3,409.7,410.0,410.1
55.5,56.0,403.4,402.0,399.2,397.7,404.6,407.1,408.1
55.5,58.0,410.7,404.8,405.1,411.7,413.6,412.6,411.8
55.5,60.0,405.2,402.3,400.1,401.6,406.9,408.6,409.1
55.5,61.5,408.5,408.2,406.8,407.2,408.9,409.5,409.8
55.5,63.0,407.7,406.8,405.5,405.7,408.4,409.3,409.6
56.0,55.0,406.4,402.8,402.8,405.9,408.0,408.2,408.1
56.0,55.5,403.3,399.0,398.6,399.5,404.8,406.8,407.7
56.0,57.5,406.4,400.5,399.2,404.7,409.5,409.7,409.5
56.0,58.0,400.9,397.1,393.4,395.2,403.3,405.8,406.7
56.0,59.5,410.1,408.1,411.2,410.5,410.1,410.1,410.1
56.0,61.0,409.0,408.2,407.6,408.3,409.4,409.8,409.9
56.0,62.5,411.4,410.7,411.6,412.3,411.6,411.0,410.7
56.0,64.0,409.6,408.2,408.1,409.4,410.2,410.3,410.2
56.0,65.0,407.5,406.7,405.8,405.3,407.9,409.0,409.4
56.5,55.0,404.7,399.1,395.1,401.7,408.2,409.2,409.5
56.5,57.0,408.7,407.1,407.4,408.5,409.2,409.4,409.6
56.5,59.0,408.3,406.2,405.0,407.3,409.5,409.9,409.9
56.5,61.0,404.7,402.8,400.4,400.5,405.9,407.8,408.6
56.5,62.0,406.7,405.0,403.5,404.0,407.7,408.9,409.4
56.5,63.5,409.3,408.0,408.4,408.9,409.7,410.0,410.0
56.5,64.5,409.9,408.9,410.0,409.9,410.0,410.1,410.1
57.0,54.5,406.9,403.6,401.5,405.1,409.0,409.5,409.7
57.0,56.5,407.2,404.8,401.6,405.3,409.3,409.7,409.7
57.0,58.5,405.3,401.8,399.8,401.8,407.1,408.7,409.2
57.0,60.5,405.5,403.0,400.9,402.2,406.8,408.4,409.1
57.0,63.0,410.1,409.4,409.9,410.2,410.3,410.2,410.2
57.0,64.5,408.7,407.3,406.5,407.7,409.4,409.9,410.0
57.0,65.5,409.6,410.5,409.5,408.9,409.5,409.8,409.9
57.5,54.0,405.5,400.1,398.1,402.4,408.6,409.4,409.6
57.5,56.0,405.7,399.8,397.8,403.4,408.8,409.5,409.6
57.5,58.5,408.0,406.0,404.5,406.6,409.4,409.8,409.9
57.5,60.0,406.7,401.6,401.3,405.1,409.0,409.5,409.6
57.5,61.5,411.1,413.5,412.4,411.4,410.4,410.3,410.2
57.5,63.0,409.9,409.9,409.4,409.7,410.1,410.1,410.1
57.5,64.0,413.6,410.5,413.3,416.5,414.5,413.0,412.1
57.5,65.0,408.5,406.9,406.5,407.3,409.2,409.8,410.0
58.0,53.5,403.4,396.3,393.1,398.8,407.3,408.9,409.4
