Longitude,Latitude,Mean,100,250,500,700,850,1000
45.0,50.0,105.4,23.1,66.0,117.0,125.0,124.4,121.5
45.0,50.5,75.4,20.7,51.6,73.2,78.3,87.0,101.4
45.0,51.0,74.5,20.5,50.4,69.6,75.9,87.7,103.2
45.0,51.5,74.2,20.5,50.1,68.8,75.4,87.6,103.4
45.0,52.0,77.3,20.7,51.2,73.3,81.4,92.0,104.4
45.0,52.5,77.9,20.7,51.3,73.6,82.5,93.2,105.2
45.0,53.0,96.8,21.4,54.5,85.6,104.6,125.8,136.4
45.5,53.5,87.9,21.1,53.2,80.8,92.7,108.3,123.0
45.5,54.0,80.5,21.1,53.6,79.0,86.0,94.7,106.2
45.5,54.5,92.5,21.5,55.8,86.7,99.7,114.9,126.1
45.5,55.0,80.6,21.1,53.7,79.2,86.4,94.9,105.7
45.5,55.5,100.1,22.5,61.9,105.6,116.2,120.1,121.5
45.5,56.0,139.4,24.4,73.1,151.6,177.9,177.2,158.1
45.5,56.5,91.3,22.7,64.5,107.4,107.4,100.4,99.1
45.5,57.0,76.0,20.5,50.1,69.8,78.6,90.7,105.7
46.0,57.5,77.6,20.7,51.3,73.0,81.6,92.3,105.6
46.0,58.0,93.4,22.0,59.4,95.8,105.2,111.6,117.0
46.0,58.5,88.9,22.2,60.8,98.5,102.2,100.8,103.0
46.0,59.0,83.1,21.3,55.4,84.0,91.3,97.3,105.7
46.0,59.5,76.7,20.8,52.5,73.4,79.2,89.8,104.0
46.0,60.0,79.6,21.0,53.5,77.8,84.3,93.1,105.6
46.0,60.5,82.4,21.0,53.2,78.6,87.5,98.5,111.3
46.0,61.0,98.4,22.0,58.7,97.5,110.8,120.7,127.5
46.0,61.5,78.7,20.9,52.7,75.4,82.6,92.7,106.1
46.5,50.0,84.1,21.5,56.4,87.4,93.8,97.9,104.1
46.5,62.0,79.1,20.9,52.8,75.9,82.9,93.2,106.6
46.5,62.5,80.0,21.0,53.3,77.5,85.2,94.4,106.4
46.5,63.0,94.7,23.0,66.9,114.3,114.7,104.5,97.8
46.5,63.5,82.0,21.2,55.0,82.1,89.0,95.8,105.8
46.5,64.0,74.6,20.4,50.0,68.2,75.6,88.0,104.9
46.5,64.5,77.4,20.8,52.4,74.0,80.1,90.3,105.3
46.5,65.0,73.9,20.5,50.9,69.9,74.6,84.7,102.4
46.5,65.5,75.3,20.7,51.6,72.5,77.9,86.6,102.0
46.5,66.0,74.1,20.5,50.8,69.9,74.6,85.2,103.3
46.5,66.5,87.5,21.8,58.6,92.3,98.8,101.3,106.4
46.5,67.0,76.6,20.6,51.5,72.4,79.1,89.5,105.1
47.0,50.5,83.0,21.3,54.8,83.7,91.3,97.8,105.6
47.0,51.0,72.9,20.0,47.0,63.9,73.7,88.6,105.1
47.0,51.5,77.4,20.6,50.3,72.3,81.7,92.9,105.4
47.0,52.0,82.9,21.3,54.7,83.3,90.9,97.7,106.2
47.0,52.5,94.8,22.6,62.8,104.7,111.2,109.9,109.1
47.0,67.5,80.3,21.0,53.6,78.0,85.2,94.2,106.8
47.0,68.0,85.5,21.6,57.2,88.2,94.9,99.3,106.8
47.0,68.5,81.3,20.8,52.7,76.7,86.0,97.1,110.8
47.0,69.0,84.6,20.9,53.2,80.3,91.0,101.7,114.5
47.0,69.5,94.9,21.2,54.6,87.5,104.0,118.7,130.6
47.0,70.0,91.4,21.1,53.7,83.1,97.9,113.5,128.2
47.0,70.5,97.4,21.7,57.0,92.4,106.9,120.1,132.3
47.0,71.0,101.6,22.3,61.4,103.5,115.1,122.0,129.4
47.0,71.5,108.5,22.1,59.0,99.5,121.3,140.0,148.9
47.0,72.0,103.5,21.7,57.0,92.6,115.3,135.3,143.0
47.5,53.0,88.3,22.2,61.1,98.7,101.9,99.5,101.2
47.5,53.5,82.2,21.3,55.1,83.4,89.9,95.8,104.6
47.5,54.0,85.9,21.8,57.9,91.2,97.0,99.3,104.1
47.5,54.5,79.4,20.8,52.1,75.8,83.7,94.1,107.3
47.5,55.0,96.6,21.8,57.3,93.0,107.5,120.3,127.6
47.5,55.5,112.0,23.1,65.8,117.6,131.5,138.2,136.5
48.0,56.0,94.7,22.5,62.8,104.8,110.0,109.0,109.8
48.0,56.5,123.2,22.7,69.0,162.6,184.9,144.6,95.5
48.0,57.0,99.3,23.0,65.2,112.4,120.7,115.4,109.1
48.0,57.5,85.3,21.6,57.3,89.3,95.5,98.8,104.8
48.0,58.0,91.4,22.5,63.0,103.9,107.0,103.1,102.5
48.0,58.5,90.2,22.4,62.5,102.3,105.0,101.4,101.5
48.5,50.0,75.7,20.5,50.3,71.9,79.6,89.2,102.4
48.5,50.5,84.7,21.8,58.8,93.7,98.1,96.2,97.0
48.5,51.0,79.1,20.9,52.8,78.0,85.3,92.7,103.4
48.5,51.5,85.0,21.8,58.3,91.9,96.4,97.2,100.9
48.5,59.0,95.6,21.7,56.9,89.6,102.7,118.8,131.5
48.5,59.5,83.1,21.4,55.7,84.4,90.6,96.6,106.0
48.5,60.0,73.1,20.3,49.3,66.4,72.5,85.9,104.4
48.5,60.5,88.5,21.1,54.0,83.8,96.3,108.6,119.5
48.5,61.0,81.6,20.8,52.1,76.1,86.2,98.7,112.0
49.0,52.0,78.3,20.7,51.2,73.9,82.6,93.6,106.4
49.0,52.5,96.4,22.2,60.5,100.8,110.1,114.9,118.8
49.0,53.0,86.5,22.0,59.5,95.6,100.1,98.2,99.4
49.0,53.5,99.1,22.7,63.6,107.6,115.0,116.5,117.3
49.0,54.0,80.5,20.9,52.4,77.3,85.9,95.3,108.0
49.0,61.5,84.8,20.9,52.8,79.0,90.6,103.9,116.2
49.0,62.0,85.7,20.9,52.8,80.6,92.6,104.6,116.4
49.0,62.5,78.5,20.8,52.4,74.8,82.3,92.7,106.1
49.0,63.0,85.1,21.6,57.0,87.9,94.5,98.9,106.0
49.0,63.5,80.7,21.0,53.5,78.4,86.2,95.3,106.9
49.5,50.0,90.0,22.3,61.4,100.9,104.6,101.8,102.8
49.5,54.5,82.6,21.2,54.4,82.5,90.2,97.2,106.7
49.5,55.0,85.4,21.3,55.0,84.7,93.5,101.5,111.0
49.5,55.5,79.9,20.8,52.2,76.0,83.9,94.5,108.6
49.5,56.0,77.4,20.5,50.0,70.4,80.3,93.3,108.1
49.5,56.5,96.7,21.8,57.5,93.2,107.6,120.1,128.0
49.5,64.0,80.0,20.9,53.1,77.4,85.2,94.3,106.3
49.5,64.5,93.8,21.3,55.1,88.9,104.4,117.1,125.4
49.5,65.0,82.0,20.8,52.5,77.7,87.7,98.6,110.7
49.5,65.5,85.6,21.6,57.3,88.7,95.2,99.3,106.4
49.5,66.0,83.9,21.4,56.1,85.5,92.1,97.6,106.6
49.5,66.5,82.0,21.2,54.9,81.8,88.6,95.7,106.4
50.0,50.5,78.0,20.6,50.4,72.7,81.5,92.9,107.4
50.0,51.0,82.5,21.3,55.0,83.5,89.9,96.3,105.7
50.0,51.5,80.3,21.1,53.6,80.0,86.2,93.3,104.8
50.0,52.0,76.1,20.6,50.7,71.6,77.7,89.1,105.6
50.0,57.0,119.3,24.0,72.2,135.1,148.0,144.5,130.6
50.0,57.5,85.8,21.9,58.6,92.7,98.0,98.2,101.5
50.0,58.0,82.2,21.2,54.4,82.0,89.3,96.6,106.4
50.0,58.5,99.6,23.3,67.6,115.8,119.2,113.1,108.0
50.0,67.0,85.4,21.2,54.6,83.4,92.6,101.5,112.9
50.0,67.5,83.4,21.3,55.8,84.3,91.1,97.2,106.6
50.0,68.0,89.2,21.1,54.1,85.6,98.6,108.6,118.6
50.0,68.5,87.0,20.9,52.7,80.7,93.5,106.2,119.8
50.5,52.5,75.2,20.5,50.1,70.2,77.9,89.2,103.4
50.5,53.0,91.0,22.1,60.2,98.3,104.6,105.5,107.8
50.5,53.5,89.7,22.3,61.3,100.8,105.6,101.9,100.8
50.5,54.0,89.0,23.1,66.6,109.8,106.5,94.2,90.2
50.5,59.0,91.0,22.0,59.2,96.2,104.0,106.7,110.6
50.5,59.5,85.0,21.6,57.0,88.4,94.8,98.8,105.4
50.5,60.0,81.5,21.2,54.5,81.2,88.3,95.5,105.7
50.5,60.5,81.4,20.8,52.4,77.5,86.8,97.3,110.0
50.5,69.0,78.6,20.7,52.2,74.2,82.4,93.0,106.9
50.5,69.5,85.2,21.5,56.8,87.0,93.9,99.1,107.8
50.5,70.0,99.7,21.9,58.7,96.8,111.4,122.5,131.7
50.5,70.5,83.4,21.3,55.4,83.1,90.5,97.5,108.1
50.5,71.0,88.0,21.8,59.0,92.8,98.9,101.3,107.7
51.0,49.5,80.3,21.1,53.7,79.5,85.5,93.7,105.4
51.0,50.0,87.3,21.9,58.9,94.6,100.3,99.9,102.8
51.0,50.5,73.0,20.5,50.1,68.6,70.9,83.0,104.1
51.0,51.0,112.9,24.2,73.9,137.6,140.3,127.6,115.8
51.0,54.5,89.3,22.3,61.1,99.0,103.5,101.9,102.7
51.0,55.0,86.6,21.9,58.6,92.9,98.2,99.7,103.9
51.0,55.5,77.0,20.6,50.7,72.2,80.7,91.7,105.0
51.0,56.0,77.9,20.7,51.6,74.4,81.8,91.7,105.4
51.0,61.0,84.7,20.8,51.9,78.1,90.5,104.0,116.9
51.0,61.5,77.9,20.8,52.1,73.9,81.3,92.1,106.0
51.0,62.0,83.2,20.7,51.7,77.2,88.6,101.1,114.6
51.0,62.5,83.2,20.8,52.0,78.0,88.6,100.3,114.2
51.0,71.5,80.1,20.9,53.0,77.0,84.9,93.9,107.6
51.0,72.0,84.7,21.4,56.4,85.6,92.6,98.6,108.5
51.5,51.5,74.3,20.6,50.7,70.4,74.9,86.2,103.1
51.5,52.0,107.4,22.3,60.2,106.4,125.9,136.6,135.7
51.5,52.5,108.8,23.2,66.4,118.2,131.7,132.9,124.9
51.5,53.0,83.8,21.5,56.2,86.8,93.2,97.5,104.2
51.5,56.5,83.9,21.5,56.1,86.3,93.2,97.8,104.9
51.5,57.0,85.5,21.7,57.5,89.8,95.9,99.0,104.7
51.5,57.5,87.4,22.1,60.6,97.6,101.6,98.7,99.4
51.5,63.0,89.4,22.1,60.3,97.6,102.9,102.3,104.8
51.5,63.5,88.9,21.3,54.8,84.3,96.7,109.1,119.5
51.5,64.0,76.2,20.6,51.0,71.5,78.5,89.4,105.2
51.5,64.5,86.0,21.7,57.7,89.8,96.1,99.6,106.0
52.0,49.5,81.6,21.2,54.5,82.1,88.4,95.0,104.9
52.0,50.0,86.8,21.4,55.0,85.0,93.4,103.8,115.4
52.0,50.5,93.1,21.7,56.7,90.8,99.9,112.0,125.8
52.0,53.5,94.2,22.1,59.5,98.7,107.5,111.5,116.1
52.0,54.0,77.3,20.5,49.9,71.2,79.9,92.2,107.9
52.0,54.5,85.7,21.8,57.9,90.9,96.8,99.0,103.6
52.0,58.0,84.3,21.5,56.3,86.8,93.4,98.2,105.6
52.0,58.5,79.1,20.9,52.6,76.7,83.7,92.7,105.8
52.0,59.0,83.0,21.3,55.5,84.2,91.1,96.9,105.4
52.0,59.5,82.9,21.4,55.7,84.5,91.0,96.5,105.1
52.0,65.0,78.9,20.8,52.1,74.6,82.4,93.1,107.7
52.0,65.5,84.2,21.4,55.8,85.2,92.8,98.6,107.0
52.0,66.0,87.7,21.9,59.1,93.3,99.1,101.0,106.0
52.5,51.0,82.5,21.4,55.3,84.2,90.6,96.3,104.4
52.5,51.5,96.0,21.6,56.2,90.7,104.2,117.9,131.8
52.5,52.0,73.3,20.3,49.0,66.9,74.0,86.9,103.2
