Longitude,Latitude,Mean,100,250,500,700,850,1000
45.0,50.0,0.0,3.683,0.354,0.144,0.094,0.074,0.056
45.0,50.5,0.0,3.111,0.333,0.139,0.093,0.073,0.056
45.0,51.0,0.0,3.736,0.356,0.145,0.094,0.074,0.057
45.0,51.5,0.0,3.567,0.35,0.143,0.094,0.074,0.056
45.0,52.0,0.0,3.958,0.363,0.146,0.095,0.074,0.057
45.0,52.5,0.0,3.729,0.356,0.145,0.094,0.074,0.056
45.0,53.0,0.0,3.766,0.357,0.145,0.094,0.074,0.056
45.5,53.5,0.0,4.043,0.365,0.147,0.095,0.075,0.057
45.5,54.0,0.0,3.33,0.342,0.142,0.093,0.074,0.056
45.5,54.5,0.0,4.095,0.367,0.147,0.094,0.074,0.056
45.5,55.0,0.0,4.053,0.366,0.147,0.095,0.074,0.057
45.5,55.5,0.0,3.89,0.361,0.146,0.094,0.074,0.056
45.5,56.0,0.0,3.369,0.344,0.142,0.094,0.074,0.056
45.5,56.5,0.0,3.835,0.359,0.145,0.094,0.074,0.056
45.5,57.0,0.0,3.699,0.355,0.144,0.094,0.074,0.056
46.0,57.5,0.0,4.059,0.366,0.147,0.095,0.074,0.057
46.0,58.0,0.0,3.23,0.339,0.141,0.094,0.074,0.057
46.0,58.5,0.0,3.709,0.355,0.144,0.094,0.074,0.056
46.0,59.0,0.0,3.664,0.353,0.144,0.094,0.074,0.056
46.0,59.5,0.0,3.837,0.359,0.146,0.095,0.074,0.057
46.0,60.0,0.0,3.569,0.35,0.144,0.094,0.074,0.056
46.0,60.5,0.0,3.843,0.359,0.146,0.095,0.074,0.057
46.0,61.0,0.0,3.775,0.357,0.145,0.094,0.074,0.057
46.0,61.5,0.0,3.919,0.362,0.146,0.095,0.074,0.057
46.5,50.0,0.0,3.512,0.348,0.143,0.094,0.074,0.056
46.5,62.0,0.0,3.378,0.344,0.142,0.094,0.074,0.056
46.5,62.5,0.0,3.936,0.362,0.146,0.095,0.074,0.057
46.5,63.0,0.0,3.457,0.347,0.143,0.094,0.074,0.056
46.5,63.5,0.0,3.916,0.362,0.146,0.095,0.074,0.057
46.5,64.0,0.0,3.815,0.358,0.145,0.095,0.074,0.057
46.5,64.5,0.0,4.242,0.371,0.149,0.096,0.075,0.057
46.5,65.0,0.0,3.792,0.358,0.145,0.095,0.074,0.057
46.5,65.5,0.0,3.897,0.361,0.146,0.095,0.074,0.057
46.5,66.0,0.0,3.97,0.363,0.147,0.095,0.074,0.057
46.5,66.5,0.0,3.488,0.348,0.143,0.094,0.074,0.056
46.5,67.0,0.0,4.147,0.368,0.148,0.095,0.075,0.057
47.0,50.5,0.0,3.511,0.349,0.143,0.094,0.074,0.056
47.0,51.0,0.0,3.538,0.349,0.143,0.094,0.074,0.056
47.0,51.5,0.0,3.708,0.355,0.144,0.094,0.074,0.056
47.0,52.0,0.0,3.31,0.342,0.142,0.095,0.075,0.057
47.0,52.5,0.0,3.721,0.354,0.144,0.094,0.074,0.056
47.0,67.5,0.0,4.27,0.372,0.149,0.096,0.075,0.057
