Longitude,Latitude,Mean,100,250,500,700,850,1000
46.5,62.0,0.0,193.8,304.1,333.9,337.1,337.5,335.7
47.0,61.5,0.0,193.8,303.7,333.3,336.6,337.0,335.4
47.5,61.5,0.0,194.8,305.1,334.4,337.6,337.9,336.1
48.5,61.0,0.0,194.8,304.7,333.8,336.9,337.3,335.6
48.5,63.0,0.0,192.1,302.0,332.3,335.7,336.1,333.0
49.0,60.5,0.0,194.8,304.4,333.3,336.5,336.8,335.3
49.0,62.5,0.0,193.2,303.4,333.5,336.7,337.1,335.5
49.5,60.0,0.0,195.4,305.1,333.7,336.8,337.1,335.5
49.5,62.0,0.0,193.8,304.0,333.8,336.9,337.3,335.6
50.0,60.0,0.0,199.0,310.6,339.2,342.4,342.7,337.3
50.0,63.5,0.0,193.7,305.1,335.7,338.6,338.9,336.8
50.5,59.5,0.0,196.3,305.9,333.9,336.6,336.9,333.6
50.5,61.5,0.0,194.5,304.9,334.4,337.4,337.8,336.0
51.0,59.0,0.0,200.4,312.1,339.1,340.2,340.1,337.6
51.0,61.5,0.0,195.2,305.7,334.9,337.7,338.0,336.1
51.0,63.0,0.0,192.0,302.0,332.4,335.8,336.2,334.8
51.5,61.0,0.0,194.7,304.6,333.6,336.7,337.0,335.4
51.5,62.5,0.0,194.1,305.1,335.2,338.1,338.4,336.4
52.0,58.5,0.0,196.4,305.5,333.0,335.9,336.3,333.2
52.0,60.5,0.0,196.1,306.5,335.3,338.0,338.3,334.4
52.0,62.5,0.0,194.7,305.7,335.5,338.3,338.6,336.6
52.0,64.0,0.0,193.5,305.3,336.1,338.9,339.1,334.9
52.5,58.5,0.0,197.8,307.3,334.6,337.3,337.7,334.0
52.5,60.0,0.0,197.4,308.3,336.6,338.9,339.1,336.9
52.5,62.0,0.0,194.9,305.6,335.4,338.3,338.6,336.6
52.5,63.5,0.0,191.8,302.1,332.8,336.1,336.5,335.1
53.0,58.0,0.0,197.4,306.4,333.5,336.3,336.7,333.4
53.0,60.0,0.0,195.6,305.1,333.4,336.5,336.9,335.3
53.0,63.0,0.0,193.2,304.0,334.5,337.5,337.8,336.0
53.0,64.5,0.0,192.1,303.3,334.4,337.5,337.7,335.9
53.5,57.5,0.0,199.1,308.7,335.4,338.0,338.3,334.4
53.5,59.5,0.0,196.6,306.3,334.4,337.2,337.6,333.9
53.5,61.5,0.0,196.3,307.6,336.8,339.2,339.4,337.1
53.5,63.0,0.0,193.6,304.4,334.3,337.2,337.4,333.9
54.0,57.0,0.0,199.9,309.8,336.3,338.7,339.0,336.9
54.0,61.0,0.0,194.6,304.6,333.8,337.0,337.3,335.7
54.0,62.5,0.0,194.0,304.7,334.6,337.4,337.7,335.9
54.0,64.0,0.0,192.2,303.2,334.1,337.2,337.5,335.8
54.5,57.0,0.0,203.6,315.3,340.6,341.6,341.5,338.6
54.5,59.0,0.0,196.8,306.3,334.1,336.9,337.3,333.8
54.5,60.5,0.0,195.8,306.2,335.3,338.5,338.9,336.8
54.5,63.5,0.0,193.2,304.4,335.1,338.1,338.4,336.4
54.5,65.0,0.0,191.5,302.7,334.0,337.2,337.5,335.8
55.0,56.5,0.0,201.4,311.5,336.8,338.6,338.8,336.7
55.0,58.5,0.0,199.6,310.5,337.1,338.3,338.3,336.2
55.0,60.5,0.0,195.0,304.5,333.3,336.4,336.8,335.3
55.0,62.0,0.0,192.3,301.6,331.4,334.9,335.3,334.1
55.0,63.0,0.0,195.2,307.2,337.3,339.7,339.8,337.4
55.0,64.5,0.0,193.6,305.8,336.6,339.1,339.3,337.0
55.5,56.0,0.0,202.7,313.2,338.0,339.4,339.5,337.3
55.5,58.0,0.0,202.8,315.2,341.1,341.6,341.5,338.6
55.5,60.0,0.0,199.2,311.0,338.6,340.0,340.0,337.5
55.5,61.5,0.0,195.3,306.1,335.4,338.0,338.3,336.3
55.5,63.0,0.0,194.7,306.1,336.0,338.4,338.6,336.5
56.0,55.0,0.0,197.5,304.5,330.2,334.1,334.8,334.0
56.0,55.5,0.0,200.4,309.4,334.4,336.6,336.9,335.4
56.0,57.5,0.0,196.5,304.6,331.5,334.8,335.2,334.2
56.0,58.0,0.0,195.6,303.5,330.7,334.1,334.5,333.6
56.0,59.5,0.0,196.1,305.7,333.7,336.3,336.6,335.1
56.0,61.0,0.0,192.4,301.1,330.4,333.9,334.4,333.5
56.0,62.5,0.0,194.2,305.0,334.9,337.9,338.2,336.3
56.0,64.0,0.0,192.0,302.8,333.7,336.9,337.3,335.6
56.0,65.0,0.0,191.4,302.7,334.1,337.3,337.6,335.9
56.5,55.0,0.0,197.7,304.5,330.4,334.4,335.1,334.2
56.5,57.0,0.0,200.3,310.2,335.7,336.4,336.1,332.8
56.5,59.0,0.0,196.0,305.2,333.0,335.8,336.2,334.8
56.5,61.0,0.0,198.8,311.0,338.9,339.9,339.8,337.3
56.5,62.0,0.0,193.2,303.1,332.8,336.0,336.4,335.0
56.5,63.5,0.0,193.2,304.3,335.0,338.1,338.4,336.4
56.5,64.5,0.0,191.4,302.4,333.6,336.8,337.1,335.4
57.0,54.5,0.0,204.1,314.2,336.6,336.6,336.5,333.1
57.0,56.5,0.0,196.4,303.7,330.9,334.9,335.5,332.8
57.0,58.5,0.0,196.3,305.4,332.9,335.8,336.2,334.8
57.0,60.5,0.0,194.6,303.9,332.6,335.7,336.1,334.8
57.0,63.0,0.0,192.7,303.2,333.5,336.6,336.9,335.3
57.0,64.5,0.0,191.9,303.0,334.1,337.4,337.8,336.0
57.0,65.5,0.0,191.2,302.8,334.3,337.5,337.8,336.0
57.5,54.0,0.0,198.2,304.6,329.6,333.3,333.9,329.7
57.5,56.0,0.0,196.8,304.0,330.8,334.7,335.3,332.7
57.5,58.5,0.0,200.2,311.2,336.7,337.0,336.8,333.3
57.5,60.0,0.0,196.8,307.1,334.8,336.5,336.6,333.2
57.5,61.5,0.0,195.1,305.8,334.7,337.1,337.3,335.6
57.5,63.0,0.0,193.9,304.8,335.0,338.0,338.3,336.3
57.5,64.0,0.0,196.8,310.4,340.5,342.1,342.0,339.0
57.5,65.0,0.0,191.0,302.1,333.5,336.9,337.2,335.6
58.0,53.5,0.0,199.2,305.8,330.3,333.8,334.3,329.8
58.0,56.0,0.0,200.9,310.3,334.9,336.5,336.7,333.3
58.0,58.0,0.0,196.5,305.0,332.2,335.4,335.8,332.9
58.0,59.5,0.0,198.5,309.5,336.5,337.9,337.9,334.0
58.0,61.0,0.0,195.2,305.5,334.3,336.4,336.5,333.2
58.0,62.5,0.0,193.0,303.0,332.9,336.2,336.6,333.3
58.0,63.5,0.0,197.4,311.1,341.0,342.7,342.6,337.1
58.0,64.5,0.0,192.4,304.0,335.1,338.0,338.2,336.3
58.0,65.5,0.0,188.8,299.0,330.8,334.7,335.2,334.1
58.5,52.5,0.0,202.6,310.6,333.6,335.9,336.3,333.2
58.5,53.0,0.0,204.3,313.5,336.1,337.6,337.8,331.6
58.5,55.5,0.0,202.6,312.4,336.0,336.9,337.0,333.5
58.5,57.5,0.0,201.3,312.2,336.9,337.1,336.9,333.3
58.5,59.0,0.0,195.4,304.3,332.3,335.4,335.8,332.9
58.5,61.0,0.0,199.6,312.3,338.8,337.7,337.0,333.2
58.5,62.0,0.0,195.5,306.6,335.6,337.4,337.4,333.7
58.5,63.0,0.0,192.0,302.0,332.4,335.8,336.2,333.1
58.5,64.0,0.0,191.8,302.6,333.6,336.7,337.1,333.6
58.5,65.5,0.0,192.0,303.9,335.4,338.4,338.7,336.6
59.0,52.5,0.0,203.2,311.2,333.8,336.0,336.4,333.2
59.0,55.0,0.0,198.8,306.2,331.4,334.4,334.8,330.1
59.0,56.5,0.0,198.2,306.6,332.8,335.6,336.0,333.0
59.0,57.0,0.0,206.2,319.5,339.9,332.7,330.4,328.2
59.0,58.5,0.0,200.4,311.8,337.4,336.9,336.5,332.9
59.0,60.0,0.0,197.0,307.4,334.8,336.5,336.6,330.9
59.0,60.5,0.0,198.5,310.2,337.1,336.9,336.5,330.7
59.0,61.5,0.0,190.9,298.9,329.0,333.4,334.1,329.8
59.0,62.5,0.0,199.7,313.9,343.1,343.4,342.7,336.9
59.0,64.0,0.0,195.3,307.9,338.3,340.7,340.9,333.2
59.0,65.0,0.0,191.2,302.3,333.6,336.9,337.3,331.3
59.0,66.0,0.0,191.4,303.6,335.1,337.5,337.5,335.6
59.5,52.0,0.0,202.0,309.0,331.4,333.8,334.2,331.9
59.5,54.0,0.0,203.8,313.5,337.4,339.4,339.7,335.4
59.5,54.5,0.0,201.0,309.5,333.9,336.3,336.7,331.0
59.5,56.5,0.0,198.6,307.0,332.8,335.5,335.9,333.0
59.5,58.5,0.0,195.1,303.1,331.1,335.1,335.7,332.9
59.5,59.5,0.0,196.0,305.5,333.3,335.9,336.2,333.1
59.5,61.0,0.0,196.2,307.1,335.3,336.9,337.0,331.1
59.5,62.0,0.0,190.1,298.2,328.1,332.0,332.5,330.7
59.5,65.5,0.0,191.8,303.8,335.4,338.3,338.6,334.6
60.0,51.0,0.0,202.9,309.8,331.6,333.8,334.2,331.8
60.0,51.5,0.0,201.6,307.9,330.2,332.7,333.1,331.2
60.0,53.5,0.0,208.1,319.9,341.6,341.4,341.4,336.3
60.0,56.0,0.0,198.9,307.1,332.6,335.4,335.8,332.9
60.0,57.5,0.0,198.0,307.1,333.4,335.7,336.0,333.0
60.0,58.0,0.0,197.0,305.8,332.8,335.6,336.0,333.0
60.0,59.0,0.0,193.5,301.2,329.8,334.1,334.7,333.8
60.0,60.5,0.0,196.9,307.9,335.7,336.9,336.7,333.2
60.0,62.0,0.0,192.8,302.2,331.9,335.3,335.8,332.8
60.0,63.5,0.0,192.6,303.2,333.6,336.7,337.0,333.6
60.0,64.5,0.0,191.8,302.8,333.9,337.1,337.5,331.5
60.0,66.0,0.0,185.2,293.7,325.4,329.6,330.2,330.3
60.5,50.5,0.0,204.4,311.8,333.0,335.1,335.5,334.4
60.5,53.5,0.0,208.3,320.0,340.9,340.3,340.2,335.5
60.5,55.5,0.0,200.0,308.6,333.7,336.3,336.7,333.4
60.5,57.0,0.0,197.0,305.1,331.8,335.0,335.4,332.6
60.5,58.5,0.0,199.3,310.1,336.3,337.1,337.0,335.2
60.5,60.5,0.0,194.2,303.2,332.0,335.4,335.9,334.6
60.5,61.5,0.0,192.9,302.1,331.5,334.9,335.3,334.1
60.5,63.0,0.0,192.7,303.0,333.4,336.8,337.3,335.6
60.5,64.0,0.0,193.1,304.6,335.4,338.2,338.5,334.5
60.5,65.0,0.0,190.4,301.2,332.7,336.1,336.5,328.0
61.0,50.0,0.0,209.0,318.6,338.6,339.8,340.0,337.8
61.0,52.5,0.0,202.3,309.8,332.7,335.2,335.6,334.5
61.0,53.0,0.0,201.7,309.3,332.5,334.8,335.2,332.5
61.0,55.0,0.0,199.9,308.1,332.9,335.5,335.9,333.0
61.0,56.5,0.0,199.7,309.1,334.6,336.5,336.7,333.4
61.0,58.5,0.0,212.6,330.6,352.6,349.4,348.8,343.9
61.0,60.0,0.0,191.2,298.1,328.1,333.5,334.4,333.7
61.0,61.0,0.0,192.9,301.7,330.9,334.2,334.7,333.7
61.0,62.5,0.0,191.1,300.1,330.1,333.6,334.1,333.2
61.0,63.5,0.0,191.6,301.9,332.6,336.0,336.4,335.0
61.0,64.5,0.0,191.3,302.3,333.6,336.9,337.3,333.8
61.0,66.0,0.0,191.2,303.1,334.8,337.9,338.2,334.3
61.0,66.5,0.0,194.3,308.7,339.9,341.5,341.5,338.6
61.5,49.5,0.0,206.6,314.1,332.5,332.4,332.3,331.7
61.5,50.0,0.0,205.2,312.3,332.8,334.9,335.2,334.2
61.5,52.0,0.0,199.8,305.6,328.5,331.1,331.4,331.3
61.5,54.0,0.0,199.1,306.1,330.4,333.1,333.6,332.9
61.5,54.5,0.0,200.8,309.1,333.6,336.0,336.4,335.0
61.5,56.0,0.0,198.3,306.6,332.5,335.3,335.8,334.5
61.5,58.0,0.0,192.8,298.9,327.0,331.3,332.0,331.8
61.5,59.5,0.0,198.8,309.9,336.4,336.6,336.3,334.5
61.5,60.5,0.0,193.9,303.1,332.0,335.3,335.7,334.5
61.5,61.5,0.0,195.9,307.1,336.6,339.6,339.9,337.6
61.5,62.0,0.0,193.1,302.9,332.7,335.9,336.3,334.9
61.5,63.0,0.0,192.8,303.4,333.9,337.1,337.5,335.8
61.5,64.5,0.0,193.3,305.1,336.0,338.7,338.9,336.7
61.5,65.5,0.0,192.6,304.9,336.0,338.4,338.6,328.9
62.0,49.0,0.0,207.9,315.7,333.2,332.2,331.9,331.3
62.0,51.5,0.0,207.0,316.5,338.1,339.5,339.7,337.6
62.0,53.5,0.0,201.1,308.9,332.9,335.4,335.8,334.6
62.0,55.5,0.0,202.0,311.8,336.8,339.3,339.7,337.6
62.0,56.0,0.0,199.0,307.3,332.8,335.5,335.9,334.7
62.0,57.5,0.0,202.5,314.1,339.0,339.4,339.4,337.1
62.0,58.5,0.0,198.2,308.2,335.2,337.3,337.6,335.8
62.0,59.0,0.0,194.1,302.0,330.2,334.0,334.5,333.6
62.0,60.0,0.0,197.9,309.0,336.3,337.6,337.6,335.7
62.0,61.0,0.0,192.6,301.5,330.7,334.0,334.4,333.5
62.0,63.0,0.0,194.8,306.2,336.6,339.7,340.1,337.8
62.0,64.0,0.0,192.6,303.7,334.5,337.7,338.1,336.2
62.0,65.0,0.0,189.3,299.3,330.9,334.9,335.4,332.7
62.0,66.0,0.0,189.5,300.5,332.4,336.0,336.4,333.2
62.5,48.0,0.0,207.8,314.9,332.6,332.8,332.9,333.0
62.5,48.5,0.0,208.6,316.5,334.2,334.1,334.1,333.1
62.5,50.5,0.0,204.2,311.4,332.0,333.1,333.3,332.6
62.5,51.0,0.0,201.4,307.4,329.1,331.3,331.6,331.3
62.5,53.0,0.0,203.3,311.7,334.8,337.0,337.4,335.8
62.5,53.5,0.0,198.8,305.0,329.0,332.2,332.7,332.3
62.5,55.0,0.0,199.1,306.8,331.9,334.9,335.4,334.3
62.5,56.5,0.0,196.0,303.1,329.7,333.4,333.9,333.2
62.5,57.0,0.0,196.7,304.5,330.9,333.7,334.2,333.3
62.5,58.0,0.0,194.9,302.5,329.8,332.9,333.3,332.6
62.5,59.5,0.0,195.9,305.5,333.5,336.2,336.5,335.0
62.5,61.0,0.0,194.4,304.0,332.9,336.0,336.4,335.0
62.5,62.0,0.0,193.2,302.9,332.7,336.0,336.5,335.0
62.5,62.5,0.0,196.7,308.9,338.6,341.1,341.2,338.6
62.5,63.5,0.0,191.8,302.1,332.7,336.2,336.6,335.1
62.5,64.5,0.0,189.0,298.4,329.6,333.4,333.9,333.1
62.5,65.5,0.0,193.3,306.2,337.1,339.0,339.0,334.8
62.5,66.5,0.0,195.2,310.3,339.8,338.3,337.5,335.1
63.0,47.5,0.0,209.0,316.4,332.7,331.6,331.4,331.5
63.0,50.5,0.0,206.1,314.1,333.3,333.2,333.2,332.4
63.0,52.5,0.0,205.3,314.7,337.8,340.1,340.5,338.2
63.0,54.5,0.0,197.9,304.6,329.2,332.2,332.7,332.2
63.0,56.0,0.0,199.5,308.3,333.7,335.9,336.2,334.8
63.0,57.5,0.0,202.5,314.3,341.2,343.8,344.1,340.9
63.0,59.5,0.0,197.1,307.0,334.5,336.7,336.9,335.3
