Longitude,Latitude,Mean,100,250,500,700,850,1000
36.0,55.5,0.0,0.116,0.216,0.2,0.248,0.368,0.386
36.0,56.0,0.0,0.124,0.231,0.281,0.241,0.172,0.125
36.0,56.5,0.0,0.097,0.178,0.192,0.233,0.331,0.35
36.0,57.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
36.5,57.5,0.0,0.122,0.224,0.225,0.264,0.386,0.397
36.5,58.0,0.0,0.122,0.224,0.277,0.423,0.634,0.598
36.5,58.5,0.0,0.146,0.27,0.299,0.39,0.564,0.53
36.5,59.0,0.0,0.17,0.315,0.392,0.668,1.026,1.041
36.5,59.5,0.0,1.484,2.752,3.226,5.116,7.718,6.186
36.5,60.0,0.0,0.018,0.032,0.044,0.088,0.145,0.222
36.5,60.5,0.0,0.073,0.136,0.152,0.229,0.354,0.383
36.5,61.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
36.5,61.5,0.0,0.189,0.355,0.469,0.83,1.31,1.342
36.5,62.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
37.0,62.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
37.0,63.0,0.0,0.162,0.344,0.687,1.345,2.147,2.173
37.0,63.5,0.0,0.042,0.109,1.276,3.414,5.61,5.693
37.0,64.0,0.0,0.031,0.057,0.075,0.136,0.218,0.283
37.0,64.5,0.0,0.154,0.313,0.766,1.623,2.561,2.559
37.0,65.0,0.0,0.084,0.161,0.242,0.468,0.747,0.801
37.0,65.5,0.0,0.106,0.203,0.297,0.562,0.893,0.942
37.0,66.0,0.0,0.314,0.6,0.83,1.503,2.368,2.367
37.0,66.5,0.0,0.522,1.015,1.473,2.672,4.175,4.096
37.0,67.0,0.0,0.059,0.11,0.138,0.229,0.358,0.39
37.0,67.5,0.0,0.049,0.096,0.274,0.617,0.992,0.921
37.5,68.0,0.0,0.511,1.095,2.248,4.548,7.28,6.107
37.5,68.5,0.0,0.129,0.243,0.289,0.446,0.68,0.642
37.5,69.0,0.0,2.129,4.018,5.942,11.009,17.639,17.413
37.5,69.5,0.0,0.76,1.428,1.657,1.353,0.937,0.247
37.5,70.0,0.0,0.325,0.644,1.08,1.314,1.671,1.398
37.5,70.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
37.5,71.0,0.0,0.001,0.002,0.147,0.455,0.73,0.788
37.5,71.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
38.0,55.5,0.0,0.133,0.244,0.254,0.286,0.395,0.39
38.5,56.0,0.0,0.038,0.069,0.085,0.144,0.226,0.284
38.5,56.5,0.0,0.164,0.301,0.35,0.521,0.704,0.599
38.5,57.0,0.0,0.206,0.385,0.471,0.767,1.186,1.056
38.5,57.5,0.0,0.129,0.237,0.258,0.319,0.461,0.452
38.5,58.0,0.0,0.031,0.057,0.075,0.136,0.218,0.279
38.5,58.5,0.0,0.031,0.057,0.075,0.136,0.218,0.279
39.0,59.0,0.0,0.081,0.156,0.251,0.469,0.743,0.708
39.0,59.5,0.0,0.045,0.083,0.102,0.174,0.275,0.325
39.0,60.0,0.0,0.02,0.037,0.051,0.098,0.16,0.228
39.0,60.5,0.0,0.015,0.033,0.23,0.523,0.834,0.786
39.0,61.0,0.0,0.046,0.084,0.103,0.175,0.277,0.325
39.5,61.5,0.0,0.057,0.106,0.124,0.201,0.314,0.372
39.5,62.0,0.0,0.0,0.007,0.285,0.618,0.973,1.013
39.5,62.5,0.0,0.031,0.057,0.075,0.136,0.218,0.283
39.5,63.0,0.0,0.021,0.038,0.048,0.086,0.139,0.207
